# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
1083,Calinda Beach Acapulco,Zona Dorada Acapulco,CALIN,,,,
561,Calinda Cabo San Lucas,Los Cabos - Cabo San Lucas,CALICC,554089,Calinda Cabo San Lucas,1400634,
1966,Calinda Roma,Hoteles en Guadalajara,CALGWF,,,,
129,Calypso Hotel Cancún,Cancún,CALYP,103090,Calypso Hotel Cancun,2292023,
1424,Camino Mexicano Hotel Resort,Tuxtla Gutiérrez,MEXT,,,,
1566,Camino Real Mérida,Hoteles Mérida,CRMWF,,,,
2120,Camino Real Polanco México,Zona Centro - CDMX,0,,,,
1896,Camino Real Santa Fe,Zona Santa Fe - CDMX,CRSFWF,,,,
1117,Camino Real Zaashila,Bahía de Tangolunda,CARE,,,,
1173,Camino Real Zaashila Huatulco,Bahía de Chahué,ZAAS,,,,
1269,Campeche Country Club,Hoteles Campeche,CACO,,,,
1199,Canadian Resorts Huatulco,Bahía de Santa Cruz,CANA,,,,
1061,Canaima Acapulco,Zona Diamante Acapulco,CANAI,,,,
,Cancún,KRYG,,,,,
,Cancún,PAXAMA,,,,,
48,Cancun Bay Resort,Cancún,CUBAY,305114,Cancun Bay Resort,,
2,Cancún Clipper Club,Cancún,CLIPP,,,,
6,Cancun Plaza,Cancún,PLAZA,2319980,Cancun Plaza - Best Beach,,
920,Cancun Suites El Patio,Cancún,SUIPA,,,,
2381,Canopy by Hilton Cancun La Isla,Cancún,0,,,,
1930,Capital O Andrade,Zona Centro - CDMX,ANDEWF,,,,
2346,Capital O Casa Santa Fe,Hoteles Guanajuato,0,,,,
1967,Capital O Central Downtown Guadalajara,Hoteles en Guadalajara,COCGWF,,,,
2165,Capital O El Nito,Oaxaca - Zona 2,0,,,,
1931,Capital O Frida Costazul,Zona Centro - CDMX,CFRCWF,,,,
1932,Capital O Garibaldi,Zona Centro - CDMX,CGDIWF,,,,
1818,Capital O Hotel José y Lety,Hoteles en Progreso,COHJWF,,,,
1174,Capital O Hotel Mexicano Huatulco,Bahía de Chahué,MEXHU,,,,
2166,Capital O Hotel Santa Lucia,Oaxaca - Zona 2,0,,,,
2167,Capital O Hotel Zadapi,Oaxaca - Zona 2,0,,,,
1819,Capital O Las Garzas,Hoteles en Progreso,CLGZWF,,,,
2168,Capital O Parador Crespo,Oaxaca - Zona 2,0,,,,
2169,Capital O Posada El Nito,Oaxaca - Zona 2,0,,,,
1139,Capital O Posada Jois,La Crucesita,CAPO,,,,
1140,Capital O Posada Santa María,La Crucesita,CAPOM,,,,
1759,Capital O Zona Dorada Inn,Z. Dorada Mazatlan,CDI2WF,,,,
1333,Capital Plaza Hotel,Hoteles Chetumal,CAPP,,,,
266,Capitan Lafite,Playa del Carmen,CAPI,,,,
2304,Caracol Plaza,Zona Urbana PXM,0,,,,
32,Carisa y Palma Condominios,Cancún,CAPAL,1405132,Carisa y Palma,,
2420,Carri Surf Studio,Zona Urbana PXM,0,,,,
1968,Casa 3 Pilares Downtown Luxury,Hoteles en Guadalajara,CPIL3WF,,,,
1969,Casa Alebrijes Gay Hotel,Hoteles en Guadalajara,GAY3WF,,,,
1970,Casa Alebrijes Gay Hotel - Caters to LGBT Guests,Hoteles en Guadalajara,CGYGWF,,,,
1488,Casa Anita y Corona del Mar,Centro y Romántica,CAANV,,,,
1971,Casa Araiza Centro de Guadalajara,Hoteles en Guadalajara,AIZAWF,,,,
2170,Casa Arnel,Oaxaca - Zona 2,0,,,,
1972,Casa Arrayan,Hoteles en Guadalajara,RRYNWF,,,,
1270,Casa Balché - Hostel,Hoteles Campeche,CABA,,,,
1175,Casa Blanca Del Sol Bahía Chahue,Bahía de Chahué,BLASO,,,,
2171,Casa Bonita Hotel Boutique & Spa,Oaxaca - Zona 2,0,,,,
2446,Casa Bruma,Zona 2 Puerto Escondido,0,,,,
666,Casa Cacao Tulum,Tulúm,CACAO,,,,
1271,Casa Caracol,Hoteles Campeche,CARAC,,,,
2172,Casa Carmen by Amador Montes,Oaxaca - Zona 2,0,,,,
2173,Casa Carmen Oaxaca,Oaxaca - Zona 2,0,,,,
2174,Casa Catrina,Oaxaca - Zona 2,0,,,,
1382,Casa Chukum,Hoteles Bacalar,CASC,,,,
2175,Casa Cid del Leon,Oaxaca - Zona 2,0,,,,
2369,Casa Corazón de Plata Suites,Hoteles Guanajuato,0,,,,
1272,Casa de Colinas,Hoteles Campeche,COLIN,,,,
1947,Casa de la Luz,Zona Centro - CDMX,CLUZWF,,,,
2444,Casa de la Tierra,Zona 2 Puerto Escondido,0,,,,
2176,Casa de las Flores Hotel,Oaxaca - Zona 2,0,,,,
958,Casa de las Ola,,,,,,
1579,Casa de las Palomas Boutique Hotel,Hoteles Mérida,CPBWF,,,,
2143,Casa de los Frailes Hotel,Oaxaca - Zona 1,0,,,,
2144,Casa de Sierra Azul,Oaxaca - Zona 1,0,,,,
1273,Casa de Zari B&B,Hoteles Campeche,ZARI,,,,
1262,Casa del Alma Hotel Boutique & Spa,San Cristóbal de las Casas,ALMA,,,,
1627,Casa del Jaibo,Hoteles Veracruz,CAJWF,,,,
547,Casa del Mar,Los Cabos - Corredor Turistico,CASM,,,,
364,Casa del Mar Cozumel,Cozumel Zona Sur,CASAMCZM,,,,
1590,Casa Del Maya Bed and Breakfast,Hoteles Mérida,CMBWF,,,,
2335,Casa del Rector Hotel Boutique,Hoteles Guanajuato,0,,,,
1274,Casa Don Gustavo Boutique Hotel,Hoteles Campeche,DOGUZ,,,,
1483,Casa Doña Susana,Centro y Romántica,SUSAV,,,,
575,Casa Dorada,Los Cabos - Cabo San Lucas,CASADC,,,,
2177,Casa Esmeralda Hotel,Oaxaca - Zona 2,0,,,,
2349,Casa Estrella Valenciana Hotel Boutique,Hoteles Guanajuato,0,,,,
1820,Casa Felix,Hoteles en Progreso,CFEXWF,,,,
1821,Casa Flores,Hoteles en Progreso,CGFSWF,,,,
787,Casa Ganesh,Tulúm,CGANESH,,,,
1822,Casa Gerardo,Hoteles en Progreso,CGDRWF,,,,
2178,Casa Gubidxa,Oaxaca - Zona 2,0,,,,
1070,Casa Inn,Zona Dorada Acapulco,CAIN,,,,
2302,Casa Joseph Zicatela,Zona 2 Puerto Escondido,0,,,,
2438,Casa Kai Conceptual Village and Lodgin,Zona 2 Puerto Escondido,0,,,,
1823,Casa Karina,Hoteles en Progreso,CKNAWF,,,,
1746,Casa Kimberly,Centro y Romántica,KIY2WF,,,,
1973,Casa Kush,Hoteles en Guadalajara,KUSHWF,,,,
2430,Casa La Paz,Zona Urbana PXM,0,,,,
2179,Casa Lidia,Oaxaca - Zona 2,0,,,,
2180,Casa los Arquitos,Oaxaca - Zona 2,0,,,,
2181,Casa Los Cántaros Hotel Boutique,Oaxaca - Zona 2,0,,,,
2107,Casa Los Reyes Cerritos By Villas HK28,Z.Emerald Bay Mazatlán,0,,,,
974,Casa Luca Condo,Playa del Carmen,LUCA,,,,
1730,Casa Lucia Hotel Boutique,Hoteles Mérida,CLU2WF,,,,
1261,Casa Lum,San Cristóbal de las Casas,LUM,,,,
254,Casa Macaw Playacar,Playa del Carmen,MACA,,,,
895,Casa Malca,Tulúm,MALCA,,,,
2319,Casa Mar Suites,Zona 2 Puerto Escondido,0,,,,
260,Casa Mar y Sol Playacar,Playa del Carmen,MARSO,,,,
1933,Casa María Hostal,Zona Centro - CDMX,CMHLWF,,,,
1824,Casa Martha Progreso,Hoteles en Progreso,CMPRWF,,,,
43,Casa Maya,Cancún,CMTA1,,,,
1275,Casa Mazejuwi,Hoteles Campeche,MAZEJ,,,,
783,Casa Melissa,Playa del Carmen,CASAME,,,,
905,Casa Mexicana,Cancún,CASMEX,,,,
365,Casa Mexicana Cozumel,Cozumel DownTown,CASME,,,,
1760,Casa Moises,Z. Dorada Mazatlan,CMO2WF,,,,
705,Casa Mora Suites,Playa del Carmen,CAMORA,,,,
2331,Casa Nada Hotel,Hoteles Guanajuato,0,,,,
2145,Casa Nina,Oaxaca - Zona 1,0,,,,
2182,Casa Oaxaca,Oaxaca - Zona 2,0,,,,
1974,Casa Pedro Loza,Hoteles en Guadalajara,LOZAWF,,,,
1934,Casa Pepe - Hostal,Zona Centro - CDMX,COEHWF,,,,
2088,Casa Pepe Puebla,CDMX Zona 2,PEP6WF,,,,
2433,Casa Piedra Ximajo,Zona 2 Puerto Escondido,0,,,,
1826,Casa playa de verano en chicxulub,Hoteles en Progreso,CPVCWF,,,,
1935,Casa Prim Hotel Boutique,Zona Centro - CDMX,PRIMWF,,,,
1827,Casa Progreso 3,Hoteles en Progreso,CPGSWF,,,,
2445,Casa RMA,Zona 2 Puerto Escondido,0,,,,
1828,Casa Roberto N,Hoteles en Progreso,CRRTWF,,,,
1936,Casa San Ildefonso,Zona Centro - CDMX,IDLDWF,,,,
1259,Casa Santa Lucía,San Cristóbal de las Casas,SANLUC,,,,
1141,Casa Shaguibá,La Crucesita,SHAG,,,,
1914,Casa Tanimisha,Zona Santa Fe - CDMX,CTMHWF,,,,
1276,Casa Terracota,Hoteles Campeche,TERRAC,,,,
2440,Casa TO,Zona 2 Puerto Escondido,0,,,,
2146,Casa Tobala,Oaxaca - Zona 1,0,,,,
785,Casa Tortugas Boutique Hotel,Cancún,CASATO,,,,
2183,Casa Vacacional Jalatlaco,Oaxaca - Zona 2,0,,,,
1466,Casa Velas Adult Only,ZH Norte y Marina,CVELAV,,,,
2431,Casa Vieja,Zona Urbana PXM,0,,,,
987,Casa Violeta,Tulúm,VIOLETA,,,,
2439,Casa WO,Zona 2 Puerto Escondido,0,,,,
2184,Casa Xochimilco,Oaxaca - Zona 2,0,,,,
1277,Casa Xukum Hostel,Hoteles Campeche,XUKU,,,,
2185,Casa Yunenisa,Oaxaca - Zona 2,0,,,,
1937,Casa Zocalo,Zona Centro - CDMX,ZOC3WF,,,,
1254,Casavieja,San Cristóbal de las Casas,VIEJA,,,,
1975,Casino Plaza Guadalajara,Hoteles en Guadalajara,CSPGWF,,,,
1366,Casita Azul-Ha,Hoteles Mahahual,CAAZ,,,,
1367,Casita Colibri,Hoteles Mahahual,CACOL,,,,
1761,Casita del Cielo,Z. Dorada Mazatlan,CAC2WF,,,,
1549,Casitas Maraika,Boca Tomatlan,CASIM,,,,
2347,Casona Alonso 10,Hoteles Guanajuato,0,,,,
2423,Casona Puerto Escondido,Zona Urbana PXM,0,,,,
1200,Castillo Huatulco Hotel & Beach Club,Bahía de Santa Cruz,CASHU,,,,
2428,Castillo Ximajo,Zona 3 Puerto Escondido,0,,,,
1236,Catalina Beach Resort,Hoteles Zihuatanejo,CABERE,,,,
980,Catalonia Costa Mujeres All Suites & Spa,Playa Mujeres,CATACOSTA,,,,
327,Catalonia Maroma,Puerto Morelos,CATMAR,,,,
323,Catalonia Riviera Maya,Puerto Aventuras,CATAL,,,,
333,Catalonia Royal Tulum Beach and Spa Resort,Puerto Aventuras,CATROY,,,,
786,Catalonia Yucatán Beach,Playa del Carmen,CATALY,,,,
285,Ceiba del Mar Hotel Spa Resort,Puerto Morelos,LCER2,,,,
1110,Celeste Beach Residences & Spa,Bahia de Conejos,CELEBE,,,,
592,Centro de convenciones,Cancún,CONVE,,,,
788,Chable Maroma,Puerto Morelos,CHABLE,,,,
1064,Chapul Inn Hotel and Suites,Zona Diamante Acapulco,CHAPU,,,,
717,Che Playa Hostel & Bar,Playa del Carmen,CHEPLA,,,,
2105,Chiringuito Tulum,Tulúm,CHIRIN,,,,
1629,Chuchumbé,Hoteles Veracruz,CHUWF,,,,
2147,Cid León Oaxaca,Oaxaca - Zona 1,0,,,,
2418,Cielito Lindo Suites,Zona Urbana PXM,0,,,,
1556,Cihuatlán,Barra Navidad,CIHU,,,,
529,Cirque du Solei,Puerto Morelos,CIRQUE,,,,
1874,City Centro Ciudad de México,Zona Centro - CDMX,CCC3WF,,,,
2186,City Centro Oaxaca,Oaxaca - Zona 2,0,,,,
1011,City Exprerss,Playa del Carmen,CITYP,,,,
1278,City Express Campeche,Hoteles Campeche,EXCAN,,,,
63,City Express Cancún,Cancún,CITY,,,,
1387,City Express Chetumal,Hoteles Chetumal,CITYEC,,,,
1731,City Express Junior Merida Altabrisa,Hoteles Mérida,JMA2WF,,,,
2086,City Express Junior Puebla Angelópolis,CDMX Zona 2,IOR6WF,,,,
1409,City Express Junior Tuxtla Gutiérrez Poliforum,Tuxtla Gutiérrez,CETG,,,,
1436,City Express Manzanillo,Zona 1 Manzanillo,MANZAM,,,,
2187,City Express Oaxaca,Oaxaca - Zona 2,0,,,,
193,City Express Playa del Carmen,Playa del Carmen,CITYP,,,,
566,City Express Plus,Los Cabos - Cabo San Lucas,CITYCC,,,,
900,City Express Plus Cabo San Lucas,Los Cabos - Cabo San Lucas,CIPLUCA,,,,
1728,City Express Plus Mérida,Hoteles Mérida,MRR2WF,,,,
2079,City Express Plus Mundo E,CDMX Zona 1,CIY6WF,,,,
1946,City Express Plus Santa Fe,Zona Santa Fe - CDMX,CFEEWF,,,,
2074,City Express Plus Satélite,CDMX Zona 1,SAT6WF,,,,
2089,City Express Puebla Centro,CDMX Zona 2,PUE6WF,,,,
2124,City Express Suites Anzures,Zona Centro - CDMX,0,,,,
