# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
207,El Tukan Condotel Suites & Beach Club,Playa del Carmen,TUKAN,,,,
451,Emerald Condominios,Cancún,,,,,
748,Emerald RESIDENTIAL TOWER & SPA,Cancún,ESMER,,,,
453,Emporio Hotel & Suites Cancún,Cancún,EMPO,,,,
797,Encantada Condo,Playa del Carmen,ENCACONDO,,,,
796,Encantada Tulum,Tulúm,ENCA,,,,
507,Ensenada Centro,Ensenada,,,,,
560,Esperanza an Auberge Resort,Los Cabos - Cabo San Lucas,ESPEAR,,,,
552,Esperanza Resort,Los Cabos - Corredor Turistico,ESPEC,,,,
196,Eurostars Hacienda Vista Real,Playa del Carmen,HAVI,,,,
26,Excellence Playa Mujeres,Playa Mujeres,EXEL,,,,
279,Excellence Riviera Cancún,Puerto Morelos,EXE,,,,
668,Fairfield Inn & Suites by Marriott Cancun Airport,Cancún,FAIRFI,,,,
259,Fairmont Mayakoba,Playa del Carmen,FAIR,,,,
410,Ferry Dock,Cozumel DownTown,MUCZM,,,,
487,Ferry Dock,Playa del Carmen,MUELL,,,,
109,Fiesta Americana Cancún Villas,Cancún,FCUR1,,,,
36,Fiesta Americana Condesa,Cancún,FACR1,,,,
406,Fiesta Americana Cozumel All Inclusive,Cozumel Zona A,FARE,,,,
740,Fiesta Inn Cancún Las Américas,Cancún,FIESIN,,,,
747,Fiesta Inn Playa del Carmen,Playa del Carmen,FIESTAPY,,,,
489,Finest Playa Mujeres,Playa Mujeres,FINE,,,,
416,Flamingo,Cozumel DownTown,,,,,
85,Flamingo Cancún Resort,Cancún,FLAM1,13537,Flamingo Cancun Resort,,
381,Fontan Hotel,Cozumel Zona Norte,FONTA,,,,
437,Four Points by Sheraton,Cancún,FOPO,,,,
513,Francisco Zarco,Francisco Zarco (Ensenada),,,,,
256,Fusion Beach Hotel,Playa del Carmen,FUS,,,,
331,Generations Riviera Maya By Karisma,Puerto Morelos,GENER,655275,Generations Riviera Maya By Karisma,,
16,Golden Parnassus Resort and Spa,Cancún,GOLDP,,,,
456,Golden Shores,Cancún,GOLDENS,,,,
38,GR Caribe Deluxe All Inclusive Resort,Cancún,GRDEL,,,,
106,Gr Solaris Cancún,Cancún,RYLS1,,,,
305,Gran Bahía Príncipe Akumal,Tulúm,BAHI,,,,
350,Gran Bahía Príncipe Cobá,Tulúm,BAHIC,,,,
351,Gran Bahía Príncipe Tulum,Tulúm,BAHIT,,,,
60,Gran Caribe Real Resort and Spa,Cancún,GRAND,,,,
555,Gran Fiesta Americana,Los Cabos - Corredor Turistico,GRFI,,,,
58,Gran Melia Cancun,Cancún,MCUR0,,,,
742,Gran Puerto,Cancún,PORTO,,,,
33,Grand City Hotel,Cancún,GRANC,,,,
46,Grand Fiesta Americana Coral Beach Cancún,Cancún,FARH1,,,,
800,Grand Fifty Suites,Playa del Carmen,FIFTY,,,,
473,Grand Hyatt Playa del Carmen Resort,Playa del Carmen,HYATP,,,,
864,Grand Luxxe Residence Club Beach,Playa del Carmen,GRANL,,,,
107,Grand Oasis Cancún,Cancún,OASF3,,,,
124,Grand Oasis Palm,Cancún,GPALM,,,,
349,Grand Oasis Tulum,Tulúm,OASAT,,,,
97,Grand Oasis Viva,Cancún,CAVIB,,,,
512,Grand Palladium Costa Mujeres Resort & Spa,Playa Mujeres,PALLGR,,,,
7,Grand Park Royal Cancún Caribe,Cancún,CCPR,,,,
398,Grand Park Royal Cozumel,Cozumel Zona Sur,SOLCB,,,,
465,Grand Residences Riviera Cancun,Puerto Morelos,GRANDR,,,,
551,Grand Velas,Los Cabos - Corredor Turistico,GRANDC,,,,
267,Grand Velas Resort,Playa del Carmen,GVEL,,,,
119,Great Parnassus All Inclusive Resort and Spa,Cancún,GREATP,,,,
352,Green Tulum,Tulúm,GREE,,,,
891,Grupo Lomas Travel,Cancún,LOMAS,,,,
708,Guacamundo Lifestyle Hostel,Playa del Carmen,GUACA,,,,
414,Guidos,Cozumel DownTown,,,,,
177,H10 Ocean Maya,Playa del Carmen,HACIM,,,,
659,H10 Ocean Riviera Paradise,Playa del Carmen,OCEANRIVP,,,,
865,Habitas Tulum,Tulúm,HABTUL,,,,
581,Hacienda Beach Club and Residences,Los Cabos - Cabo San Lucas,HACIBCR,,,,
217,Hacienda Del Carmen,Playa del Carmen,HACPY,,,,
558,Hacienda del Mar Los Cabos Resort Villas,Los Cabos - Corredor Turistico,558Y,,,,
559,Hacienda Encantada,Los Cabos - Cabo San Lucas,HACC,,,,
270,Hacienda Maria Bonita,Playa del Carmen,HACIEM,,,,
283,Hacienda Morelos,Puerto Morelos,HACIMO,,,,
239,Hacienda Paradise,Playa del Carmen,HACIP,,,,
678,Hacienda Real del Caribe Hotel,Playa del Carmen,HACIENREAL,,,,
368,Hacienda San Miguel,Cozumel DownTown,,,,,
339,Hacienda Tres Ríos,Playa del Carmen,HRIOS,,,,
869,Hampton Inn By Hilton Cancun Cumbres,Cancún,HICUM,,,,
74,Hard Rock Hotel Cancun,Cancún,HARD,,,,
337,Hard Rock Hotel Riviera Maya,Puerto Aventuras,HARDR,,,,
663,Haven Riviera Cancún,Puerto Morelos,HAVEN,,,,
