# destino_id,destino_nombre_es
1205,Hotel Caribe Internacional
1206,Hotel Casa Antica
1207,Hotel Casa Antigua
1208,Hotel Casa Azul
1209,Hotel Casa Blanca
1210,Hotel Casa Blanca del Sol Tangolunda
1212,Hotel Casa Carmen Morelos Oaxaca
1213,Hotel Casa Conzatti
1214,Hotel Casa Culhuac Tu casa en mexico
1215,Hotel Casa de la Tía Tere
1216,Hotel Casa de las Flores Playa del Carmen
1217,Hotel Casa del Balam
1218,Hotel Casa del Mar
1219,Hotel Casa del Sol
1220,Hotel Casa del Sótano
1221,Hotel Casa Diana
1222,Hotel Casa Divina
1223,Hotel Casa Guivá
1224,Hotel Casa Iguana Mismaloya
1225,Hotel Casa La Galería
1226,Hotel Casa Mia - Adults Only
1227,Hotel Casa Rivas Culture and SPA
1228,Hotel Casa San Pancho
1229,Hotel Casa Santo Tomas
1230,Hotel Casa Ticul
1231,Hotel Casa Turquesa
1232,Hotel Casa Valop
1233,Hotel Casa Vértiz
1234,Hotel Casa Virreyes
1235,Hotel Casa Xuul Tulum
1236,Hotel Casablanca
1237,Hotel Casino Plaza
1238,Hotel Castilla y Leon
1239,Hotel Castillo Santa Cecilia
1240,Hotel Castropol
1241,Hotel Catedral
1242,Hotel Catedral Campeche
1243,Hotel Cazomalli
1248,Hotel Central Veracruz
1251,Hotel Ceo Group Malecon
1252,Hotel Cervantes
1253,Hotel Chablé Yucatán
1254,Hotel Chocolate
1255,Hotel Chocolate Suites
1256,Hotel Cielo
1257,Hotel City Express Campeche Oficial
1258,Hotel Club Playamar
1259,Hotel Club Yebo
1260,Hotel Coacalco
1261,Hotel Coco Rio
1262,Hotel Colina Dorada
1263,Hotel Colón Express
1264,Hotel Colonial
1265,Hotel Colonial
